Title,H Index,Impact Factor
Nature Nanotechnology,263,33.21708
Nano Energy,85,13.06907
Materials Horizons,38,12.59893
Progress in Quantum Electronics,54,11.57143
Automatica,221,7.51911
IEEE Communications Surveys and Tutorials,120,26.67925
IEEE Transactions on Automatic Control,245,5.90705
ACS Photonics,37,7.15375
IEEE Transactions on Cybernetics,60,9.34667
Nano Research,87,7.88269
Nanophotonics,31,6.94845
IEEE Transactions on Power Systems,205,6.58706
IEEE Transactions on Geoscience and Remote Sensing,197,5.79489
International Journal of Robotics Research,128,6.3209
IEEE Communications Magazine,199,12.95103
IEEE Transactions on Power Electronics,205,9.0208
Journal of Power Sources,249,7.01067
IEEE Transactions on Industrial Electronics,217,9.01653
Energy and Buildings,132,4.98488
International Journal of Robust and Nonlinear Control,85,4.3194
Energy,146,5.64784
IEEE Industrial Electronics Magazine,49,8.90123
Systems and Control Letters,117,3.4
IEEE Transactions on Medical Imaging,187,6.68839
IEEE Wireless Communications,129,10.01672
IEEE Transactions on Control Systems Technology,127,5.8786
IEEE Transactions on Robotics,121,6.06684
IEEE Transactions on Power Delivery,152,4.45072
Polymer Reviews,76,7.22414
Progress in Photovoltaics: Research and Applications,108,5.54298
IEEE Signal Processing Magazine,146,9.70588
IEEE Geoscience and Remote Sensing Magazine,13,4.12088
IEEE Journal on Selected Areas in Communications,207,9.60719
IEEE Journal of Solid-State Circuits,188,5.09648
IEEE Journal of Emerging and Selected Topics in Power Electronics,35,6.82099
IEEE Transactions on Industrial Informatics,85,8.3657
Nano-Micro Letters,27,5.96947
IEEE/ASME Transactions on Mechatronics,104,5.02038
Critical Reviews in Solid State and Materials Sciences,46,5.7551
IEEE Geoscience and Remote Sensing Letters,80,3.53217
Nonlinear Dynamics,85,4.36462
IEEE Transactions on Reliability,82,3.47337
IET Control Theory and Applications,91,4.01092
"Sensors and Actuators, B: Chemical",159,5.65439
Proceedings of the IEEE,241,9.59584
IEEE Transactions on Energy Conversion,146,5.53691
IEEE Electron Device Letters,130,3.70193
IEEE Journal on Selected Topics in Signal Processing,83,7.38024
IEEE Transactions on Antennas and Propagation,162,4.65793
IEEE Transactions on Automation Science and Engineering,62,4.95789
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",105,5.76617
Telematics and Informatics,42,4.3691
International Journal of Electrical Power and Energy Systems,88,4.60902
IEEE Transactions on Signal Processing,220,5.59636
IEEE Transactions on Wireless Communications,177,6.40291
IEEE Journal of Photovoltaics,43,3.71332
"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",116,2.98036
Journal of the Energy Institute,29,3.64
Smart Materials and Structures,124,3.36835
International Review of Aerospace Engineering,10,2.20253
Beilstein Journal of Nanotechnology,39,3.5194
IEEE Journal on Selected Topics in Quantum Electronics,139,3.44665
ISA Transactions,54,4.39577
"Journal of Guidance, Control, and Dynamics",117,2.7867
IEEE Transactions on Terahertz Science and Technology,39,3.26235
"Organic Electronics: physics, materials, applications",87,3.45048
Nanotechnology,171,3.04605
Control Engineering Practice,99,3.45491
Electric Power Systems Research,95,3.31378
IEEE Antennas and Wireless Propagation Letters,89,3.89787
Superconductor Science and Technology,89,2.6947
IEEE Transactions on Industry Applications,165,4.01066
Optics and Lasers in Engineering,69,3.30826
IEEE Journal of the Electron Devices Society,17,3.49375
IEEE Transactions on Communications,182,5.0695
IEEE Transactions on Microwave Theory and Techniques,167,3.63813
IEEE Journal of Biomedical and Health Informatics,94,4.47841
IEEE Control Systems,99,3.01124
IEEE Transactions on Circuits and Systems for Video Technology,151,5.32554
IEEE Photonics Technology Letters,139,2.80332
IEEE Transactions on Multimedia,101,5.31716
Discrete Event Dynamic Systems: Theory and Applications,42,1.4
IEEE Power and Energy Magazine,59,2.36612
IEEE Transactions on Broadcasting,68,4.69507
Signal Processing,105,3.95109
IEEE Transactions on Instrumentation and Measurement,93,3.48949
International Journal of Adaptive Control and Signal Processing,56,2.50368
Zhongguo Dianji Gongcheng Xuebao/Proceedings of the Chinese Society of Electrical Engineering,82,2.25124
"IET Generation, Transmission and Distribution",87,3.25817
IEEE Photonics Journal,52,2.80976
Engineering Applications of Artificial Intelligence,82,3.75671
IEEE Transactions on Circuits and Systems I: Regular Papers,141,3.65758
"IEEE Transactions on Audio, Speech and Language Processing",91,5.38776
IEEE Transactions on Biomedical Circuits and Systems,53,4.26038
Meitan Xuebao/Journal of the China Coal Society,40,1.22515
IEEE Transactions on Professional Communication,37,2.16176
IEEE/ACM Transactions on Audio Speech and Language Processing,20,4.42683
Journal of Energy Storage,12,3.67568
IEEE Transactions on Electron Devices,158,2.89537
IEEE Transactions on Mobile Computing,116,4.94677
IET Power Electronics,49,3.33747
"Journal of Infrared, Millimeter, and Terahertz Waves",46,2.33712
IEEE Transactions on Dependable and Secure Computing,56,4.60131
Mechatronics,74,3.13019
Telecommunications Policy,57,2.27632
Journal of Micro-Bio Robotics,9,3.26316
Flexible and Printed Electronics,5,2.67857
International Journal of Computer Integrated Manufacturing,44,1.93156
"Sustainable Energy, Grids and Networks",10,2.72152
IEEE Transactions on Circuits and Systems II: Express Briefs,102,2.86657
Dianli Xitong Zidonghua/Automation of Electric Power Systems,68,2.16932
Semiconductor Science and Technology,94,2.25714
IEEE Robotics and Automation Magazine,76,3.02577
Remote Sensing Letters,26,1.93043
IEEE Transactions on Vehicular Technology,136,4.68062
Vehicular Communications,15,5.57143
Optics and Laser Technology,57,2.66188
Journal of Microelectromechanical Systems,125,2.78571
IEEE Transactions on Engineering Management,80,2.03311
Measurement: Journal of the International Measurement Confederation,61,2.68306
IEEE Signal Processing Letters,112,3.78819
IEEE Microwave and Wireless Components Letters,108,2.42163
IEEE/ACM Transactions on Networking,152,3.79483
Applied Optics,170,1.83601
IEEE Power Electronics Magazine,10,2.33333
Quantum Information Processing,38,2.36761
IEEE Transactions on Electromagnetic Compatibility,80,2.0832
"Sensors and Actuators, A: Physical",132,2.8016
IEEE Journal of Oceanic Engineering,83,3.00885
Power System Technology,49,1.92597
Diamond and Related Materials,98,2.44423
Progress in Electromagnetics Research,76,2.98148
IEEE Wireless Communications Letters,37,3.38095
Diangong Jishu Xuebao/Transactions of China Electrotechnical Society,43,1.9643
Energies,56,3.11636
International Journal of Mobile Communications,37,1.9798
International Journal of Precision Engineering and Manufacturing,36,1.67196
Journal of Solid State Electrochemistry,69,2.40792
Lighting Research and Technology,40,1.56021
Bell Labs Technical Journal,37,7.05263
IEEE Journal of Quantum Electronics,115,1.79827
Physica Status Solidi (A) Applications and Materials,90,1.81825
IEEE Transactions on Network and Service Management,31,4.40523
IEEE Journal on Emerging and Selected Topics in Circuits and Systems,30,4.31469
IEEE Sensors Journal,89,3.28187
Optics Communications,115,1.8575
Image and Vision Computing,111,3.17409
IEEE Transactions on Aerospace and Electronic Systems,121,2.72053
Sensing and Bio-Sensing Research,11,2.32484
Microelectronic Engineering,85,1.8967
IEEE Systems Journal,46,3.99502
International Review of Electrical Engineering,26,1.18182
Optical Materials,89,2.39141
Smart Structures and Systems,33,2.21875
IEEE Communications Letters,122,2.9954
Experimental Heat Transfer,27,1.49558
Sensors,114,3.2242
"Navigation, Journal of the Institute of Navigation",34,1.83908
Superlattices and Microstructures,60,2.12356
IEEE Transactions on Nanotechnology,69,2.8993
"Journal of Electronic Packaging, Transactions of the ASME",45,2.14545
IEEE Transactions on Nanobioscience,53,2.57353
IEEE Transactions on Nuclear Science,106,1.68016
"IET Microwaves, Antennas and Propagation",56,2.12693
Journal of Micromechanics and Microengineering,115,2.04328
Signal Processing: Image Communication,69,3.06528
Digital Signal Processing: A Review Journal,56,2.7319
"IET Radar, Sonar and Navigation",69,2.38784
IET Electric Power Applications,84,3.10628
Electronics (Switzerland),17,3.04918
Radio Science,68,1.46518
IEEE Circuits and Systems Magazine,43,4.13043
Journal of Intelligent and Robotic Systems: Theory and Applications,56,2.55876
Dianli Xitong Baohu yu Kongzhi/Power System Protection and Control,37,1.7679
IEEE Transactions on Consumer Electronics,88,2.52838
Gaodianya Jishu/High Voltage Engineering,39,1.77191
Journal of Information Display,14,1.94186
Quantitative InfraRed Thermography,16,1.70833
Optical Fiber Technology,50,1.86431
Urban Rail Transit,4,0.86842
Journal of Visual Communication and Image Representation,62,2.68839
Journal of Materials Science: Materials in Electronics,61,2.16797
Quantum Electronics,39,1.09335
Laser and Particle Beams,48,1.11957
Journal of X-Ray Science and Technology,27,1.19898
IEEE Transactions on Computational Intelligence and AI in Games,32,2.17822
Micromachines,22,2.35242
Physica C: Superconductivity and its Applications,78,1.2906
Solid-State Electronics,82,1.72239
IEEE Antennas and Propagation Magazine,73,2.04762
Flow Measurement and Instrumentation,46,1.69364
IEEE Transactions on Magnetics,116,1.80287
IEEE Transactions on Education,57,2.34615
"Signal, Image and Video Processing",24,1.89861
IEEE Microwave Magazine,60,1.89415
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,106,2.92048
"IEEE Transactions on Components, Packaging and Manufacturing Technology",35,1.94795
Journal of Electrostatics,66,1.71587
Journal of the Society for Information Display,43,1.12712
Journal of Electronic Materials,83,1.60111
IEEE Transactions on Dielectrics and Electrical Insulation,96,2.40839
Journal of Vacuum Science and Technology B: Nanotechnology and Microelectronics,111,1.25306
Computer Optics,19,1.76657
International Transactions on Electrical Energy Systems,33,1.622
IEEE Transactions on Very Large Scale Integration (VLSI) Systems,92,2.3774
Optimization and Engineering,31,1.50893
IEEE/OSA Journal of Display Technology,53,1.49913
Advances in Natural Sciences: Nanoscience and Nanotechnology,22,1.66667
IEEE Transactions on Device and Materials Reliability,60,2.00309
Journal of Location Based Services,18,1.78261
Photonics and Nanostructures - Fundamentals and Applications,32,1.63889
Dianli Zidonghua Shebei / Electric Power Automation Equipment,28,1.41079
International Review on Modelling and Simulations,18,1.07422
Journal of Electroceramics,64,1.25773
IET Nanobiotechnology,28,2.10625
AEU - International Journal of Electronics and Communications,44,2.45318
IEEE Nanotechnology Magazine,11,0.86667
Physica B: Condensed Matter,92,1.45612
Journal of Electromagnetic Engineering and Science,4,1.82927
IEEE Micro,84,2.8125
Biochip Journal,15,1.36667
ECS Solid State Letters,16,1.09794
Eurasip Journal on Image and Video Processing,28,2.34694
IEEE Transactions on Applied Superconductivity,69,1.42428
Electronics Letters,134,1.57615
IET Electrical Systems in Transportation,15,2.51515
Computers and Electrical Engineering,43,2.29552
Soldering and Surface Mount Technology,26,1.45333
Chinese Optics Letters,29,1.00626
IEEE Electrical Insulation Magazine,59,2.17
Microelectronics Reliability,77,1.51116
International Journal of Imaging Systems and Technology,41,1.4466
IET Signal Processing,30,1.68987
International Journal on Communications Antenna and Propagation,13,1.58333
"Journal of Micro/ Nanolithography, MEMS, and MOEMS",34,1.27221
Infrared and Laser Engineering,25,0.66475
Electric Power Components and Systems,39,1.62996
International Journal of Robotics and Automation,23,1.23529
International Journal of Circuit Theory and Applications,44,1.44152
Nanomaterials and Nanotechnology,13,1.15126
International Journal of Ventilation,15,0.68132
Frontiers of Optoelectronics,11,0.89873
"Radiophysics and Quantum Electronics (English Translation of Izvestiya Vysshikh Uchebnykh Zavedenii, Radiofizika)",14,0.65201
IEEE Security and Privacy,62,1.68852
IEEE Transactions on Semiconductor Manufacturing,57,1.49171
Opto-electronics Review,35,1.52041
Diagnostyka,8,0.97902
Journal of Modern Transportation,11,1.08889
Optical and Quantum Electronics,50,1.20188
"IET Science, Measurement and Technology",41,1.72152
European Transactions on Telecommunications,38,2.02174
Optik,40,1.35068
Microsystem Technologies,55,1.35308
Journal of Laser Micro Nanoengineering,16,0.83333
Physical Communication,25,2.32283
IET Image Processing,29,1.88782
International Journal of Optomechatronics,15,1.06452
"Eurasip Journal on Audio, Speech, and Music Processing",20,1.61957
Wireless Networks,79,2.03473
IEEE Aerospace and Electronic Systems Magazine,50,1.67836
IET Optoelectronics,37,1.53719
IEEE Instrumentation and Measurement Magazine,35,1.34356
IEEE Industry Applications Magazine,48,0.88947
"Modelling, Measurement and Control A",5,1.52941
Zhongguo Jiguang/Chinese Journal of Lasers,29,0.69735
Automation and Remote Control,28,0.7509
International Journal of Dynamics and Control,9,1.08696
International Journal of Communication Systems,37,1.87769
Magnetohydrodynamics,20,0.66452
Electrical Engineering,28,1.44444
Journal of Aerospace Information Systems,26,1.37415
Communications - Scientific Letters of the University of Zilina,15,1.19935
Eurasip Journal on Advances in Signal Processing,73,1.71535
Kybernetika,31,0.67232
Studies in Informatics and Control,14,1.05147
China Communications,20,1.78386
ACM Journal on Emerging Technologies in Computing Systems,30,1.97826
Sensor Review,29,1.31788
International Journal of Applied Electromagnetics and Mechanics,24,0.95349
International Journal of Mechanics,14,1.0137
Journal of Microwave Power and Electromagnetic Energy,27,0.7
"Computers, Materials and Continua",25,0.44444
"Jisuanji Jicheng Zhizao Xitong/Computer Integrated Manufacturing Systems, CIMS",28,0.6435
Journal of Nanotechnology in Engineering and Medicine,14,1.26389
International Journal of Digital Multimedia Broadcasting,14,1.63636
International Journal of Electrical and Computer Engineering,11,0.95545
Nano Communication Networks,25,2.37736
Sustainable Computing: Informatics and Systems,14,1.79452
Displays,49,1.47015
Optical Switching and Networking,23,1.71329
Gyroscopy and Navigation,13,0.82258
Guangdianzi Jiguang/Journal of Optoelectronics Laser,22,0.60856
Transactions on Emerging Telecommunications Technologies,14,1.89597
Kybernetes,30,1.06419
Journal of Sensors and Sensor Systems,5,1.03226
Control Engineering and Applied Informatics,11,1.07042
"IET Circuits, Devices and Systems",44,1.48333
Journal of Sensors,25,1.41358
ACM Transactions on Design Automation of Electronic Systems,46,1.42328
Journal of Power Electronics,24,1.23319
Gaoya Dianqi/High Voltage Apparatus,22,0.50501
Microelectronics Journal,57,1.58047
"IETE Technical Review (Institution of Electronics and Telecommunication Engineers, India)",22,1.50676
International Journal of RF Technologies: Research and Applications,12,1.41667
Journal of Semiconductors,18,0.86549
International Journal of Satellite Communications and Networking,33,1.25743
Optical Memory and Neural Networks (Information Optics),12,0.76699
Journal of Computational Electronics,25,1.37958
Advances in Electrical and Electronic Engineering,13,1.07018
International Journal of RF and Microwave Computer-Aided Engineering,34,1.14925
"Journal of Control, Automation and Electrical Systems",12,0.95312
Jiqiren/Robot,20,0.95423
IEEE Design and Test,68,1.76129
Microwave and Optical Technology Letters,67,0.98513
Journal of Communications Technology and Electronics,18,0.49534
Journal of Visualization,23,1.06471
Journal of Magnetics,11,0.6749
Xiyou Jinshu Cailiao Yu Gongcheng/Rare Metal Materials and Engineering,22,0.46126
Telkomnika,13,0.61981
IEEE Electromagnetic Compatibility Magazine,9,0.79688
International Journal of Aeronautical and Space Sciences,13,0.72832
International Journal of Electronics,46,1.06295
Photonic Network Communications,30,1.33166
Journal of Advanced Dielectrics,5,0.87952
MM Science Journal,5,0.52301
IET Communications,51,1.5133
Wireless Personal Communications,42,1.37233
IEEJ Transactions on Power and Energy,23,0.47309
Elektronika ir Elektrotechnika,20,1.00252
Journal of Electromagnetic Waves and Applications,43,0.99825
International Journal of Nanoelectronics and Materials,6,0.52083
Real-Time Systems,50,2.47619
IEEJ Journal of Industry Applications,11,1.13889
Dongli Gongcheng Xuebao/Journal of Chinese Society of Power Engineering,12,0.49068
Sensing and Imaging,15,0.96923
Journal of Systems Engineering and Electronics,25,0.92011
IEEE Latin America Transactions,16,0.61744
Microelectronics International,18,0.66265
International Journal of Sensor Networks,26,0.965
Chinese Journal of Electronics,19,0.83408
Circuit World,19,0.57746
Journal of Electrical Systems,11,0.79221
International Journal of Electrical Engineering Education,18,0.55319
Information Technology and Control,14,0.94118
Rev Roumaine des Sciences Techniques-Series Electrotechnique et Energetique,10,1.12195
Applied Computational Electromagnetics Society Journal,24,0.72285
"Electrotehnica, Electronica, Automatica",8,0.79851
Frontiers of Information Technology and Electronic Engineering,18,1.21895
Qiangjiguang Yu Lizishu/High Power Laser and Particle Beams,23,0.2514
Telecommunication Systems,39,1.25269
TM. Technisches Messen,16,0.5
Journal of Electronic Imaging,57,1.00331
Canadian Journal of Electrical and Computer Engineering,19,1.27551
International Journal on Smart Sensing and Intelligent Systems,22,1.13782
SEI Technical Review,16,0.39167
IEICE Transactions on Communications,49,0.97122
International Journal of Wireless and Mobile Computing,16,0.78516
Archives of Electrical Engineering,10,0.85256
International Journal of Power Electronics,9,0.87179
International Journal of Antennas and Propagation,25,0.98767
ETRI Journal,40,1.03351
Kongzhi Lilun Yu Yinyong/Control Theory and Applications,29,0.79048
Distributed Generation and Alternative Energy Journal,9,0.66667
Dianji yu Kongzhi Xuebao/Electric Machines and Control,17,0.43144
Progress in Electromagnetics Research B,39,1.18182
Russian Microelectronics,14,0.52869
Ad-Hoc and Sensor Wireless Networks,13,0.94313
Journal of Electrical Engineering and Technology,19,0.75418
Shenyang Gongye Daxue Xuebao/Journal of Shenyang University of Technology,7,0.29255
Tien Tzu Hsueh Pao/Acta Electronica Sinica,40,0.57155
Fujitsu Scientific and Technical Journal,20,0.32749
International Journal of Computer Applications in Technology,22,1.11872
Chinese Space Science and Technology,10,0.41791
Transactions on Electrical and Electronic Materials,13,0.51852
Radioengineering,32,1.13673
"Integration, the VLSI Journal",31,1.25225
Annales des Telecommunications,31,1.16552
Journal of Low Power Electronics and Applications,10,1.16981
3D Research,14,1.01905
Journal of Computational and Theoretical Nanoscience,40,0.44192
COMPEL - The International Journal for Computation and Mathematics in Electrical and Electronic Engineering,25,0.74396
Journal of Nanoelectronics and Optoelectronics,18,0.83292
IEICE Transactions on Electronics,43,0.5706
IEEJ Transactions on Electrical and Electronic Engineering,21,0.87671
International Journal of Power Electronics and Drive Systems,11,0.8732
International Journal of Electronics and Telecommunications,14,0.75
"Optoelectronics and Advanced Materials, Rapid Communications",23,0.40249
Dianzi Yu Xinxi Xuebao/Journal of Electronics and Information Technology,22,0.63776
Defence Science Journal,22,0.7094
Automatisierungstechnik,20,0.51639
Ingegneria Ferroviaria,8,0.26761
International Journal of Security and Networks,22,0.78571
EasternEuropean Journal of Enterprise Technologies,7,0.42427
Far East Journal of Electronics and Communications,7,0.40816
Open Engineering,13,0.70103
Przeglad Elektrotechniczny,20,0.2616
IET Computers and Digital Techniques,39,1.2037
IEEE Consumer Electronics Magazine,12,0.8365
Xi Tong Gong Cheng Yu Dian Zi Ji Shu/Systems Engineering and Electronics,24,0.50712
Turkish Journal of Electrical Engineering and Computer Sciences,23,0.70973
International Journal of Modelling and Simulation,15,0.51667
"International Journal of Reliability, Quality and Safety Engineering",25,0.46316
Journal of Electrical Engineering,22,0.75648
Reseaux,14,0.24
Journal of Optoelectronics and Advanced Materials,41,0.41353
"IEEJ Transactions on Electronics, Information and Systems",16,0.15691
Russian Electrical Engineering,12,1.46618
Wireless Communications and Mobile Computing,54,0.89648
International Journal of Nanotechnology,31,0.45126
Journal of Semiconductor Technology and Science,14,0.48553
NTT Technical Review,13,0.16173
Telecommunications and Radio Engineering (English translation of Elektrosvyaz and Radiotekhnika),12,0.22098
SAE International Journal of Passenger Cars - Electronic and Electrical Systems,11,0.52229
International Journal of Nanoscience,20,0.56452
Journal of Robotics and Mechatronics,14,0.53979
Advances in Electrical and Computer Engineering,19,0.84259
Guangdian Gongcheng/Opto-Electronic Engineering,18,0.21646
International Journal of Mechatronics and Manufacturing Systems,11,0.44444
Advances in Radio Science,17,0.46465
Radioelectronics and Communications Systems,9,0.37688
Journal of Control Science and Engineering,14,0.68824
IEICE Transactions on Information and Systems,45,0.60854
Technical Electrodynamics,9,0.33714
Light and Engineering,6,0.16185
IEEJ Transactions on Industry Applications,28,0.49306
Journal of Engineering,10,0.98571
"International Journal of Numerical Modelling: Electronic Networks, Devices and Fields",26,0.67265
Journal of Electronic Testing: Theory and Applications (JETTA),30,0.87421
Xi'an Dianzi Keji Daxue Xuebao/Journal of Xidian University,15,0.45161
Guofang Keji Daxue Xuebao/Journal of National University of Defense Technology,15,0.28261
IETE Journal of Research,18,0.8964
IEEJ Transactions on Fundamentals and Materials,19,0.25189
Advances in Power Electronics,9,0.45833
International Journal of Microwave and Wireless Technologies,15,0.59392
Transactions of the Korean Institute of Electrical Engineers,8,0.1588
Optoelectronics Letters,16,0.42045
Indonesian Journal of Electrical Engineering and Computer Science,6,0.50321
Integrated Ferroelectrics,35,0.4
WSEAS Transactions on Power Systems,10,0.7451
Journal of Electrical and Electronics Engineering,7,0.275
Lasers in Engineering,14,0.40329
Electromagnetics,29,0.52143
International Journal of Signal and Imaging Systems Engineering,9,0.5283
World Journal of Engineering,3,0.30288
"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",48,0.46679
International Journal of Engineering and Technology Innovation,3,0.6875
International Journal of Microwave and Optical Technology,7,0.51759
IEEJ Transactions on Sensors and Micromachines,14,0.25
IEEE Engineering Management Review,14,0.18557
Acta Cybernetica,14,0.41935
"Journal of Circuits, Systems and Computers",23,0.63086
Informacije MIDEM,15,0.62887
Journal of Electrical and Computer Engineering,17,0.6652
Sensor Letters,30,0.4472
Dianbo Kexue Xuebao/Chinese Journal of Radio Science,19,0.23768
Periodica polytechnica Electrical engineering and computer science,9,0.66667
"Proceedings of the Institution of Mechanical Engineers, Part N: Journal of Nanoengineering and Nanosystems",12,0.54054
IEEE Potentials,27,0.72727
Acta IMEKO,5,0.58772
IEICE Electronics Express,31,9.76087
Progress in Superconductivity and Cryogenics (PSAC)/Journal of the Korea Institute of Applied Superconductivity and Cryogenics,5,0.72607
IEEE Spectrum,57,2.55055
International Journal of Manufacturing Technology and Management,18,1.18219
International Journal of High Speed Electronics and Systems,19,1.21728
Information Display,16,1.11202
Journal of ICT Research and Applications,5,0.72607
Istanbul University - Journal of Electrical and Electronics Engineering,8,0.83133
Serbian Journal of Electrical Engineering,3,0.6559
International Journal of Vehicle Autonomous Systems,20,1.25236
International Journal of Biometrics,12,0.97167
Journal of Optical Communications,12,0.97167
Advanced Electromagnetics,8,0.83133
Furukawa Review,11,0.93659
IPSJ Transactions on System LSI Design Methodology,9,0.86641
Bandaoti Guangdian/Semiconductor Optoelectronics,10,0.9015
Revue Francaise de Photogrammetrie et de Teledetection,6,0.76116
International Journal of Wireless Information Networks,24,1.39271
Dianzi Keji Daxue Xuebao/Journal of the University of Electronic Science and Technology of China,14,1.04184
"Optoelectronics, Instrumentation and Data Processing (English translation of Avtometriya)",7,0.79624
Journal of The Institution of Engineers (India): Series B,6,0.76116
Iranian Journal of Electrical and Electronic Engineering,10,0.9015
"UPB Scientific Bulletin, Series C: Electrical Engineering",9,0.86641
"Journal of Microwaves, Optoelectronics and Electromagnetic Applications",12,0.97167
Elektrotechnik und Informationstechnik,14,1.04184
International Journal of Power and Energy Systems,15,1.07693
SMT Surface Mount Technology Magazine,8,0.83133
Journal of Communications,27,1.49797
Journal of Telecommunications and Information Technology,7,0.79624
Chongqing Daxue Xuebao/Journal of Chongqing University,13,1.00676
Advances in OptoElectronics,19,1.21728
International Journal of Automation and Smart Technology,6,0.76116
International Journal of Engineering Intelligent Systems for Electrical Engineering and Communications,16,1.11202
Open Electrical and Electronic Engineering Journal,5,0.72607
Beijing Youdian Xueyuan Xuebao/Journal of Beijing University of Posts And Telecommunications,14,1.04184
International Journal of Microwave Science and Technology,7,0.79624
Active and Passive Electronic Components,19,1.21728
Microwave Journal,25,1.42779
Electrical Engineering in Japan (English translation of Denki Gakkai Ronbunshi),23,1.35762
"Journal of Telecommunication, Electronic and Computer Engineering",5,0.72607
Journal of Communications Software and Systems,9,0.86641
EPE Journal (European Power Electronics and Drives Journal),22,1.32253
Journal of Low Power Electronics,14,1.04184
"International Journal of Circuits, Systems and Signal Processing",8,0.83133
Elektrotehniski Vestnik/Electrotechnical Review,8,0.83133
Australian Journal of Electrical and Electronics Engineering,11,0.93659
Gongneng Cailiao/Journal of Functional Materials,14,1.04184
Membrane Technology,19,1.21728
International Journal of Mechatronics and Automation,13,1.00676
Journal of Microelectronics and Electronic Packaging,16,1.11202
Frequenz,22,1.32253
International Journal of Autonomous and Adaptive Communications Systems,12,0.97167
ABB Review,16,1.11202
Electronics and Communications in Japan,10,0.9015
International Journal of Electrical Engineering,7,0.79624
International Journal of Green Nanotechnology,3,0.6559
Journal of Integrated Circuits and Systems,9,0.86641
Chinese Journal of Sensors and Actuators,15,1.07693
Majlesi Journal of Electrical Engineering,1,0.58572
Electronics,6,0.76116
Journal of Electronic Science and Technology,2,0.62081
"Transactions on Electrical Engineering, Electronics, and Communications",5,0.72607
Nanjing Youdian Daxue Xuebao (Ziran Kexue Ban)/Journal of Nanjing University ofPosts and Telecommunications (Natural Science),8,0.83133
Microwave Review,4,0.69098
Journal of Electronics,11,0.93659
International Journal of Applied Linguistics and English Literature,4,0.69098
Infocommunications Journal,5,0.72607
WSEAS Transactions on Communications,14,1.04184
Journal of the Institute of Telecommunications Professionals,12,0.97167
Iranian Journal of Science and Technology - Transactions of Electrical Engineering,3,0.6559
Metallurgical and Mining Industry,14,1.04184
VLSI Design,20,1.25236
Wuhan Ligong Daxue Xuebao (Jiaotong Kexue Yu Gongcheng Ban)/Journal of Wuhan University of Technology (Transportation Science and Engineering),11,0.93659
Journal of Light and Visual Environment,14,1.04184
Journal Europeen des Systemes Automatises,19,1.21728
International Journal of COMADEM,9,0.86641
Journal of Electrical Engineering,5,0.72607
Energia Elettrica,5,0.72607
Microwaves and RF,12,0.97167
Jiliang Xuebao/Acta Metrologica Sinica,12,0.97167
WSEAS Transactions on Circuits and Systems,14,1.04184
Recent Advances in Electrical and Electronic Engineering,5,0.72607
Acta Technica CSAV (Ceskoslovensk Akademie Ved),10,0.9015
Hedianzixue Yu Tance Jishu/Nuclear Electronics and Detection Technology,8,0.83133
International Conference on Geoinformatics,5,0.72607
Engineering and Technology,12,0.97167
Guti Dianzixue Yanjiu Yu Jinzhan/Research & Progress of Solid State Electronics,5,0.72607
Journal of Functional Materials and Devices,7,0.79624
International Journal of Ultra Wideband Communications and Systems,8,0.83133
International Journal of Radio Frequency Identification Technology and Applications,11,0.93659
Shomei Gakkai Shi,3,0.6559
Electronic Device Failure Analysis,6,0.76116
Journal of the Institute of Electrical Engineers of Japan,9,0.86641
Kyokai Joho Imeji Zasshi/Journal of the Institute of Image Information and Television Engineers,11,0.93659
"Journal of the Institute of Electronics, Information and Communication Engineers",2,0.62081
NEC Technical Journal,9,0.86641
International Journal of Electrical and Computer Engineering Systems,0,0.55064
Journal of Japan Institute of Electronics Packaging,10,0.9015
Research Reports on Information Science and Electrical Engineering of Kyushu University,6,0.76116
Traitement du Signal,3,0.6559
EuroAsia Semiconductor,5,0.72607
Total Telecom,1,0.58572
SAIEE Africa Research Journal,7,0.79624
Journal of the National Institute of Information and Communications Technology,9,0.86641
Journal of Thermoelectricity,2,0.62081
"International Journal of Sensors, Wireless Communications and Control",1,0.58572
Shapu Giho/Sharp Technical Journal,7,0.79624
"Revista de Direito, Estado e Telecomunicacoes",1,0.58572
European Journal of Electrical Engineering,5,0.72607
ITU News,3,0.6559
Digital TV Europe,1,0.58572
ABU Technical Review,3,0.6559
Mitsubishi Electric Advance,6,0.76116
Advancing Microelectronics,12,0.97167
LIA Today,3,0.6559
H and V News,0,0.55064
Engineering,2,0.62081
Journal of the Institute of Image Electronics Engineers of Japan,7,0.79624
Printed Circuit Design and Fab,4,0.69098
