Title,SJR,H index,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Impact Factor
International Journal of Electronics and Telecommunications,0.216,14,60,156,1187,117,156.0,0.75,19.78,0.75
"Optoelectronics and Advanced Materials, Rapid Communications",0.215,23,140,723,3263,291,723.0,0.39,23.31,0.40249
Dianzi Yu Xinxi Xuebao/Journal of Electronics and Information Technology,0.214,22,424,1372,7891,875,1372.0,0.62,18.61,0.63776
Defence Science Journal,0.214,22,120,241,1972,166,234.0,0.64,16.43,0.7094
Automatisierungstechnik,0.212,20,85,275,1722,126,244.0,0.53,20.26,0.51639
Ingegneria Ferroviaria,0.212,8,21,77,369,19,71.0,0.21,17.57,0.26761
International Journal of Security and Networks,0.212,22,23,71,855,55,70.0,0.76,37.17,0.78571
EasternEuropean Journal of Enterprise Technologies,0.212,7,575,997,11850,423,997.0,0.43,20.61,0.42427
Far East Journal of Electronics and Communications,0.211,7,83,148,1218,60,147.0,0.47,14.67,0.40816
Open Engineering,0.211,13,54,200,1429,136,194.0,0.52,26.46,0.70103
Przeglad Elektrotechniczny,0.209,20,569,1968,7388,513,1961.0,0.27,12.98,0.2616
IET Computers and Digital Techniques,0.209,39,26,116,684,130,108.0,0.86,26.31,1.2037
IEEE Consumer Electronics Magazine,0.209,12,107,263,1365,220,263.0,0.9,12.76,0.8365
Xi Tong Gong Cheng Yu Dian Zi Ji Shu/Systems Engineering and Electronics,0.209,24,407,1264,7959,641,1264.0,0.5,19.56,0.50712
Turkish Journal of Electrical Engineering and Computer Sciences,0.208,23,205,627,4855,445,627.0,0.66,23.68,0.70973
International Journal of Modelling and Simulation,0.207,15,32,63,796,31,60.0,0.36,24.88,0.51667
"International Journal of Reliability, Quality and Safety Engineering",0.206,25,34,100,853,44,95.0,0.51,25.09,0.46316
Journal of Electrical Engineering,0.205,22,52,193,1057,146,193.0,0.64,20.33,0.75648
Reseaux,0.205,14,34,130,1406,30,125.0,0.18,41.35,0.24
Journal of Optoelectronics and Advanced Materials,0.204,41,120,665,3397,275,665.0,0.44,28.31,0.41353
"IEEJ Transactions on Electronics, Information and Systems",0.204,16,238,781,2884,118,752.0,0.17,12.12,0.15691
Russian Electrical Engineering,0.204,12,165,419,1207,607,414.0,1.59,7.32,1.46618
Wireless Communications and Mobile Computing,0.203,54,218,513,7335,459,512.0,0.89,33.65,0.89648
International Journal of Nanotechnology,0.202,31,94,283,2313,125,277.0,0.43,24.61,0.45126
Journal of Semiconductor Technology and Science,0.202,14,117,319,1759,151,311.0,0.42,15.03,0.48553
NTT Technical Review,0.202,13,126,379,523,60,371.0,0.16,4.15,0.16173
Telecommunications and Radio Engineering (English translation of Elektrosvyaz and Radiotekhnika),0.202,12,48,448,711,99,448.0,0.2,14.81,0.22098
SAE International Journal of Passenger Cars - Electronic and Electrical Systems,0.202,11,57,157,778,82,157.0,0.6,13.65,0.52229
International Journal of Nanoscience,0.201,20,66,126,1323,70,124.0,0.59,20.05,0.56452
Journal of Robotics and Mechatronics,0.201,14,109,298,2411,156,289.0,0.55,22.12,0.53979
Advances in Electrical and Computer Engineering,0.2,19,63,216,1902,182,216.0,0.86,30.19,0.84259
Guangdian Gongcheng/Opto-Electronic Engineering,0.2,18,78,559,2497,121,559.0,0.22,32.01,0.21646
International Journal of Mechatronics and Manufacturing Systems,0.199,11,18,57,384,24,54.0,0.51,21.33,0.44444
Advances in Radio Science,0.199,17,36,99,587,46,99.0,0.37,16.31,0.46465
Radioelectronics and Communications Systems,0.198,9,59,199,1123,75,199.0,0.37,19.03,0.37688
Journal of Control Science and Engineering,0.196,14,72,173,1742,117,170.0,0.73,24.19,0.68824
IEICE Transactions on Information and Systems,0.195,45,398,1163,8127,670,1101.0,0.63,20.42,0.60854
Technical Electrodynamics,0.195,9,71,350,824,118,350.0,0.38,11.61,0.33714
Light and Engineering,0.195,6,85,175,1148,28,173.0,0.15,13.51,0.16185
IEEJ Transactions on Industry Applications,0.194,28,126,436,1574,213,432.0,0.49,12.49,0.49306
Journal of Engineering,0.194,10,32,141,930,138,140.0,1.09,29.06,0.98571
"International Journal of Numerical Modelling: Electronic Networks, Devices and Fields",0.192,26,103,226,2119,150,223.0,0.63,20.57,0.67265
Journal of Electronic Testing: Theory and Applications (JETTA),0.191,30,62,180,1637,139,159.0,0.72,26.4,0.87421
Xi'an Dianzi Keji Daxue Xuebao/Journal of Xidian University,0.189,15,184,589,2404,266,589.0,0.48,13.07,0.45161
Guofang Keji Daxue Xuebao/Journal of National University of Defense Technology,0.188,15,180,552,3047,156,552.0,0.26,16.93,0.28261
IETE Journal of Research,0.187,18,170,232,2334,199,222.0,0.86,13.73,0.8964
IEEJ Transactions on Fundamentals and Materials,0.187,19,127,399,1331,100,397.0,0.25,10.48,0.25189
Advances in Power Electronics,0.184,9,3,24,62,11,24.0,0.27,20.67,0.45833
International Journal of Microwave and Wireless Technologies,0.184,15,233,377,4022,215,362.0,0.5,17.26,0.59392
Transactions of the Korean Institute of Electrical Engineers,0.183,8,268,870,3398,138,869.0,0.15,12.68,0.1588
Optoelectronics Letters,0.182,16,113,352,1904,148,352.0,0.49,16.85,0.42045
Indonesian Journal of Electrical Engineering and Computer Science,0.182,6,382,312,6503,157,312.0,0.5,17.02,0.50321
Integrated Ferroelectrics,0.182,35,189,594,3614,232,580.0,0.37,19.12,0.4
WSEAS Transactions on Power Systems,0.181,10,0,51,0,38,51.0,0.0,0.0,0.7451
Journal of Electrical and Electronics Engineering,0.181,7,29,80,460,22,80.0,0.14,15.86,0.275
Lasers in Engineering,0.18,14,83,245,1618,98,243.0,0.33,19.49,0.40329
Electromagnetics,0.179,29,48,141,884,73,140.0,0.48,18.42,0.52143
International Journal of Signal and Imaging Systems Engineering,0.179,9,33,108,1151,56,106.0,0.7,34.88,0.5283
World Journal of Engineering,0.178,3,72,209,1714,63,208.0,0.37,23.81,0.30288
"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",0.177,48,412,1118,7316,499,1069.0,0.45,17.76,0.46679
International Journal of Engineering and Technology Innovation,0.176,3,24,49,684,33,48.0,0.69,28.5,0.6875
International Journal of Microwave and Optical Technology,0.175,7,63,199,1200,103,199.0,0.71,19.05,0.51759
IEEJ Transactions on Sensors and Micromachines,0.174,14,87,264,1063,62,248.0,0.2,12.22,0.25
IEEE Engineering Management Review,0.173,14,49,112,446,18,97.0,0.19,9.1,0.18557
Acta Cybernetica,0.172,14,37,64,877,26,62.0,0.34,23.7,0.41935
"Journal of Circuits, Systems and Computers",0.172,23,247,517,6329,323,512.0,0.65,25.62,0.63086
Informacije MIDEM,0.172,15,29,104,703,61,97.0,0.59,24.24,0.62887
Journal of Electrical and Computer Engineering,0.171,17,80,234,1818,151,227.0,0.61,22.73,0.6652
Sensor Letters,0.171,30,98,653,3007,288,644.0,0.56,30.68,0.4472
Dianbo Kexue Xuebao/Chinese Journal of Radio Science,0.17,19,65,568,1050,135,568.0,0.24,16.15,0.23768
Periodica polytechnica Electrical engineering and computer science,0.17,9,33,76,1051,48,72.0,0.66,31.85,0.66667
"Proceedings of the Institution of Mechanical Engineers, Part N: Journal of Nanoengineering and Nanosystems",0.169,12,0,76,0,40,74.0,0.56,0.0,0.54054
IEEE Potentials,0.167,27,72,197,126,112,154.0,0.61,1.75,0.72727
Acta IMEKO,0.165,5,61,120,975,67,114.0,0.59,15.98,0.58772
IEICE Electronics Express,0.164,31,326,865,4247,449,46.0,14.53,13.03,9.76087
Progress in Superconductivity and Cryogenics (PSAC)/Journal of the Korea Institute of Applied Superconductivity and Cryogenics,0.164,5,41,127,734,39,127.0,0.39,17.9,0.30709
IEEE Spectrum,0.159,57,189,450,0,240,372.0,0.7,0.0,-10.0
International Journal of Manufacturing Technology and Management,0.159,18,32,66,1596,29,63.0,0.53,49.88,-10.0
International Journal of High Speed Electronics and Systems,0.159,19,27,88,858,28,82.0,0.36,31.78,-10.0
Information Display,0.158,16,45,148,240,25,106.0,0.28,5.33,-10.0
Journal of ICT Research and Applications,0.157,5,18,50,437,34,50.0,0.67,24.28,-10.0
Istanbul University - Journal of Electrical and Electronics Engineering,0.157,8,54,56,1193,17,56.0,0.34,22.09,-10.0
Serbian Journal of Electrical Engineering,0.157,3,29,30,525,19,29.0,0.66,18.1,-10.0
International Journal of Vehicle Autonomous Systems,0.155,20,9,27,220,11,27.0,0.44,24.44,-10.0
International Journal of Biometrics,0.155,12,19,57,706,27,57.0,0.36,37.16,-10.0
Journal of Optical Communications,0.154,12,151,149,1476,49,146.0,0.25,9.77,-10.0
Advanced Electromagnetics,0.154,8,47,71,1042,47,71.0,0.64,22.17,-10.0
Furukawa Review,0.154,11,15,30,110,6,28.0,0.24,7.33,-10.0
IPSJ Transactions on System LSI Design Methodology,0.153,9,5,38,157,29,35.0,0.78,31.4,-10.0
Bandaoti Guangdian/Semiconductor Optoelectronics,0.152,10,191,686,2413,96,686.0,0.14,12.63,-10.0
Revue Francaise de Photogrammetrie et de Teledetection,0.15,6,24,73,454,13,69.0,0.15,18.92,-10.0
International Journal of Wireless Information Networks,0.149,24,44,92,1238,58,89.0,0.62,28.14,-10.0
Dianzi Keji Daxue Xuebao/Journal of the University of Electronic Science and Technology of China,0.149,14,148,492,2934,116,492.0,0.2,19.82,-10.0
"Optoelectronics, Instrumentation and Data Processing (English translation of Avtometriya)",0.149,7,86,259,1526,85,259.0,0.34,17.74,-10.0
Journal of The Institution of Engineers (India): Series B,0.148,6,65,152,1443,64,144.0,0.39,22.2,-10.0
Iranian Journal of Electrical and Electronic Engineering,0.148,10,40,105,1032,43,105.0,0.27,25.8,-10.0
"UPB Scientific Bulletin, Series C: Electrical Engineering",0.146,9,79,255,1343,48,255.0,0.18,17.0,-10.0
"Journal of Microwaves, Optoelectronics and Electromagnetic Applications",0.146,12,76,101,1518,68,100.0,0.83,19.97,-10.0
Elektrotechnik und Informationstechnik,0.146,14,102,259,811,68,224.0,0.29,7.95,-10.0
International Journal of Power and Energy Systems,0.144,15,12,61,274,15,61.0,0.27,22.83,-10.0
SMT Surface Mount Technology Magazine,0.143,8,110,360,171,13,257.0,0.06,1.55,-10.0
Journal of Communications,0.143,27,82,398,1804,218,395.0,0.46,22.0,-10.0
Journal of Telecommunications and Information Technology,0.142,7,52,138,1075,83,129.0,0.68,20.67,-10.0
Chongqing Daxue Xuebao/Journal of Chongqing University,0.142,13,84,409,1638,69,409.0,0.16,19.5,-10.0
Advances in OptoElectronics,0.141,19,7,26,220,13,26.0,0.32,31.43,-10.0
International Journal of Automation and Smart Technology,0.141,6,24,92,562,31,87.0,0.27,23.42,-10.0
International Journal of Engineering Intelligent Systems for Electrical Engineering and Communications,0.14,16,5,58,110,6,55.0,0.08,22.0,-10.0
Open Electrical and Electronic Engineering Journal,0.14,5,17,220,341,24,218.0,0.1,20.06,-10.0
Beijing Youdian Xueyuan Xuebao/Journal of Beijing University of Posts And Telecommunications,0.138,14,132,503,1512,113,503.0,0.22,11.45,-10.0
International Journal of Microwave Science and Technology,0.136,7,1,39,11,36,39.0,0.71,11.0,-10.0
Active and Passive Electronic Components,0.136,19,19,45,378,20,43.0,0.32,19.89,-10.0
Microwave Journal,0.136,25,94,262,578,56,262.0,0.25,6.15,-10.0
Electrical Engineering in Japan (English translation of Denki Gakkai Ronbunshi),0.136,23,114,326,1708,85,326.0,0.19,14.98,-10.0
"Journal of Telecommunication, Electronic and Computer Engineering",0.134,5,782,377,16014,160,377.0,0.43,20.48,-10.0
Journal of Communications Software and Systems,0.134,9,19,58,551,18,57.0,0.38,29.0,-10.0
EPE Journal (European Power Electronics and Drives Journal),0.131,22,17,68,478,18,61.0,0.08,28.12,-10.0
Journal of Low Power Electronics,0.131,14,65,174,1763,61,168.0,0.34,27.12,-10.0
"International Journal of Circuits, Systems and Signal Processing",0.131,8,63,201,1364,73,200.0,0.41,21.65,-10.0
Elektrotehniski Vestnik/Electrotechnical Review,0.13,8,39,130,766,8,129.0,0.05,19.64,-10.0
Australian Journal of Electrical and Electronics Engineering,0.13,11,5,97,94,19,96.0,0.18,18.8,-10.0
Gongneng Cailiao/Journal of Functional Materials,0.129,14,379,2249,8438,388,2249.0,0.16,22.26,-10.0
Membrane Technology,0.129,19,16,39,238,3,34.0,0.13,14.88,-10.0
International Journal of Mechatronics and Automation,0.129,13,0,46,0,38,46.0,1.36,0.0,-10.0
Journal of Microelectronics and Electronic Packaging,0.129,16,15,77,288,16,77.0,0.15,19.2,-10.0
Frequenz,0.128,22,103,196,1616,74,194.0,0.35,15.69,-10.0
International Journal of Autonomous and Adaptive Communications Systems,0.128,12,24,67,670,16,64.0,0.2,27.92,-10.0
ABB Review,0.128,16,49,173,61,12,157.0,0.07,1.24,-10.0
Electronics and Communications in Japan,0.128,10,90,307,1524,75,307.0,0.24,16.93,-10.0
International Journal of Electrical Engineering,0.126,7,22,76,434,8,71.0,0.06,19.73,-10.0
International Journal of Green Nanotechnology,0.123,3,0,1,0,0,1.0,0.0,0.0,-10.0
Journal of Integrated Circuits and Systems,0.123,9,14,53,253,25,52.0,0.54,18.07,-10.0
Chinese Journal of Sensors and Actuators,0.12,15,271,947,2039,165,947.0,0.15,7.52,-10.0
Majlesi Journal of Electrical Engineering,0.12,1,34,29,779,7,29.0,0.24,22.91,-10.0
Electronics,0.12,6,5,47,134,31,47.0,0.29,26.8,-10.0
Journal of Electronic Science and Technology,0.119,2,62,116,1487,19,109.0,0.17,23.98,-10.0
"Transactions on Electrical Engineering, Electronics, and Communications",0.118,5,13,31,272,14,29.0,0.38,20.92,-10.0
Nanjing Youdian Daxue Xuebao (Ziran Kexue Ban)/Journal of Nanjing University ofPosts and Telecommunications (Natural Science),0.118,8,68,341,1261,37,341.0,0.12,18.54,-10.0
Microwave Review,0.117,4,8,34,161,10,30.0,0.33,20.13,-10.0
Journal of Electronics,0.117,11,0,72,0,24,72.0,0.0,0.0,-10.0
International Journal of Applied Linguistics and English Literature,0.116,4,1,570,24,56,569.0,0.1,24.0,-10.0
Infocommunications Journal,0.116,5,15,59,339,9,56.0,0.15,22.6,-10.0
WSEAS Transactions on Communications,0.116,14,0,74,0,23,74.0,0.0,0.0,-10.0
Journal of the Institute of Telecommunications Professionals,0.116,12,34,99,77,13,76.0,0.3,2.26,-10.0
Iranian Journal of Science and Technology - Transactions of Electrical Engineering,0.115,3,29,11,860,2,11.0,0.18,29.66,-10.0
Metallurgical and Mining Industry,0.115,14,0,908,0,155,908.0,0.15,0.0,-10.0
VLSI Design,0.115,20,6,45,107,23,42.0,0.38,17.83,-10.0
Wuhan Ligong Daxue Xuebao (Jiaotong Kexue Yu Gongcheng Ban)/Journal of Wuhan University of Technology (Transportation Science and Engineering),0.114,11,176,813,770,71,813.0,0.09,4.38,-10.0
Journal of Light and Visual Environment,0.113,14,0,37,0,10,31.0,0.46,0.0,-10.0
Journal Europeen des Systemes Automatises,0.113,19,9,63,202,3,61.0,0.0,22.44,-10.0
International Journal of COMADEM,0.113,9,0,73,0,13,69.0,0.15,0.0,-10.0
Journal of Electrical Engineering,0.112,5,5,485,130,76,482.0,0.15,26.0,-10.0
Energia Elettrica,0.112,5,29,95,346,13,90.0,0.05,11.93,-10.0
Microwaves and RF,0.112,12,29,471,96,14,253.0,0.06,3.31,-10.0
Jiliang Xuebao/Acta Metrologica Sinica,0.11,12,140,414,765,30,414.0,0.07,5.46,-10.0
WSEAS Transactions on Circuits and Systems,0.11,14,0,51,0,18,51.0,0.0,0.0,-10.0
Recent Advances in Electrical and Electronic Engineering,0.109,5,31,74,989,7,63.0,0.08,31.9,-10.0
Acta Technica CSAV (Ceskoslovensk Akademie Ved),0.109,10,309,143,3828,32,143.0,0.19,12.39,-10.0
Hedianzixue Yu Tance Jishu/Nuclear Electronics and Detection Technology,0.107,8,75,929,313,47,929.0,0.05,4.17,-10.0
International Conference on Geoinformatics,0.107,5,48,197,815,17,193.0,0.09,16.98,-10.0
Engineering and Technology,0.107,12,43,378,0,58,378.0,0.16,0.0,-10.0
Guti Dianzixue Yanjiu Yu Jinzhan/Research & Progress of Solid State Electronics,0.106,5,73,325,524,15,325.0,0.03,7.18,-10.0
Journal of Functional Materials and Devices,0.106,7,0,16,0,1,16.0,0.0,0.0,-10.0
International Journal of Ultra Wideband Communications and Systems,0.106,8,0,19,0,3,19.0,0.14,0.0,-10.0
International Journal of Radio Frequency Identification Technology and Applications,0.106,11,0,10,0,7,10.0,1.0,0.0,-10.0
Shomei Gakkai Shi,0.105,3,10,35,77,2,32.0,0.06,7.7,-10.0
Electronic Device Failure Analysis,0.105,6,24,83,164,4,58.0,0.03,6.83,-10.0
Journal of the Institute of Electrical Engineers of Japan,0.104,9,142,409,717,20,350.0,0.07,5.05,-10.0
Kyokai Joho Imeji Zasshi/Journal of the Institute of Image Information and Television Engineers,0.103,11,51,195,376,13,193.0,0.05,7.37,-10.0
"Journal of the Institute of Electronics, Information and Communication Engineers",0.103,2,0,435,0,15,393.0,0.04,0.0,-10.0
NEC Technical Journal,0.102,9,26,188,30,16,182.0,0.1,1.15,-10.0
International Journal of Electrical and Computer Engineering Systems,0.102,0,10,10,175,0,10.0,0.0,17.5,-10.0
Journal of Japan Institute of Electronics Packaging,0.102,10,92,292,693,16,244.0,0.04,7.53,-10.0
Research Reports on Information Science and Electrical Engineering of Kyushu University,0.102,6,2,13,27,0,13.0,0.0,13.5,-10.0
Traitement du Signal,0.102,3,0,55,0,4,50.0,0.09,0.0,-10.0
EuroAsia Semiconductor,0.101,5,0,20,0,0,15.0,0.0,0.0,-10.0
Total Telecom,0.101,1,0,26,0,0,17.0,0.0,0.0,-10.0
SAIEE Africa Research Journal,0.101,7,4,48,161,8,46.0,0.23,40.25,-10.0
Journal of the National Institute of Information and Communications Technology,0.101,9,10,114,166,5,111.0,0.05,16.6,-10.0
Journal of Thermoelectricity,0.101,2,0,30,0,1,30.0,0.03,0.0,-10.0
"International Journal of Sensors, Wireless Communications and Control",0.101,1,12,22,320,4,20.0,0.2,26.67,-10.0
Shapu Giho/Sharp Technical Journal,0.101,7,0,24,0,0,24.0,0.0,0.0,-10.0
"Revista de Direito, Estado e Telecomunicacoes",0.101,1,9,27,176,1,27.0,0.06,19.56,-10.0
European Journal of Electrical Engineering,0.101,5,0,36,0,1,31.0,0.0,0.0,-10.0
ITU News,0.101,3,0,34,0,0,34.0,0.0,0.0,-10.0
Digital TV Europe,0.101,1,55,88,0,0,37.0,0.0,0.0,-10.0
ABU Technical Review,0.1,3,16,72,6,1,51.0,0.03,0.38,-10.0
Mitsubishi Electric Advance,0.1,6,23,66,31,1,58.0,0.0,1.35,-10.0
Advancing Microelectronics,0.1,12,27,96,150,0,69.0,0.0,5.56,-10.0
LIA Today,0.1,3,36,109,10,0,73.0,0.0,0.28,-10.0
H and V News,0.1,0,47,98,0,0,94.0,0.0,0.0,-10.0
Engineering,0.1,2,42,140,12,0,107.0,0.0,0.29,-10.0
Journal of the Institute of Image Electronics Engineers of Japan,0.1,7,0,140,0,3,140.0,0.02,0.0,-10.0
Printed Circuit Design and Fab,0.1,4,117,373,53,2,234.0,0.01,0.45,-10.0
